name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏,sum
A Bird Story,2.272727272727273,0.30303030303030304,2.4242424242424243,1.3636363636363635,2.878787878787879,0.45454545454545453,0.9090909090909091,0.9090909090909091,1.5151515151515151,1.3636363636363635,4.848484848484849,3.1818181818181817,0.0,0.7575757575757576,3.0303030303030303,2.1212121212121215,0.7575757575757576,1.5151515151515151,2.878787878787879,3.1818181818181817,2.1212121212121215,0.9090909090909091,1.0606060606060608,0.45454545454545453,1.5151515151515151,0.15151515151515152,3.939393939393939,1.5151515151515151,1.8181818181818181,3.6363636363636362,2.878787878787879,0.15151515151515152,1.0606060606060608,0.45454545454545453,1.3636363636363635,0.6060606060606061,2.272727272727273,1.5151515151515151,1.2121212121212122,1.5151515151515151,1.3636363636363635,3.6363636363636362,1.3636363636363635,0.30303030303030304,2.878787878787879,2.727272727272727,2.727272727272727,3.1818181818181817,3.1818181818181817,1.8181818181818181,1.3636363636363635,0.0,1.0606060606060608,0.0,2.727272727272727,0.15151515151515152,0.6060606060606061,0.30303030303030304,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.0,0.7575757575757576,2.5757575757575757,660
A Boy and His Blob,0.7142857142857143,0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.0,2.857142857142857,0.7142857142857143,5.0,2.857142857142857,0.0,0.0,0.7142857142857143,2.142857142857143,0.0,0.0,0.7142857142857143,1.4285714285714286,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,4.285714285714286,0.7142857142857143,2.857142857142857,4.285714285714286,2.142857142857143,0.0,0.0,0.0,2.857142857142857,0.0,5.0,4.285714285714286,1.4285714285714286,2.142857142857143,1.4285714285714286,5.0,3.571428571428571,0.0,4.285714285714286,4.285714285714286,5.0,5.0,5.0,3.571428571428571,4.285714285714286,0.0,0.7142857142857143,0.0,5.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,140
A Fistful of Gun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
A Golden Wake,0.29411764705882354,0.0,2.3529411764705883,0.29411764705882354,2.3529411764705883,0.0,0.0,1.1764705882352942,2.0588235294117645,0.29411764705882354,5.0,2.3529411764705883,0.0,0.0,2.6470588235294117,2.941176470588235,0.0,0.0,1.4705882352941175,2.941176470588235,1.1764705882352942,0.29411764705882354,0.5882352941176471,0.0,0.5882352941176471,0.0,3.823529411764706,0.5882352941176471,2.3529411764705883,4.117647058823529,2.6470588235294117,0.0,0.29411764705882354,0.0,1.4705882352941175,0.0,4.411764705882353,2.941176470588235,1.4705882352941175,2.3529411764705883,2.3529411764705883,4.705882352941177,2.0588235294117645,0.0,2.941176470588235,3.823529411764706,4.705882352941177,4.705882352941177,3.823529411764706,2.941176470588235,2.941176470588235,0.0,1.4705882352941175,0.29411764705882354,3.823529411764706,0.0,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.0,0.29411764705882354,3.2352941176470593,340
A Hat in Time,2.4444444444444446,0.1111111111111111,2.2222222222222223,1.3333333333333335,3.111111111111111,0.2222222222222222,0.7777777777777778,0.5555555555555556,2.4444444444444446,1.7777777777777777,4.777777777777778,3.0,0.0,0.0,3.2222222222222223,1.5555555555555556,0.4444444444444444,1.0,2.666666666666667,2.888888888888889,2.4444444444444446,1.4444444444444444,0.7777777777777778,0.33333333333333337,1.7777777777777777,0.1111111111111111,4.222222222222222,0.8888888888888888,2.4444444444444446,3.4444444444444446,3.0,0.6666666666666667,0.6666666666666667,0.4444444444444444,2.2222222222222223,0.5555555555555556,2.3333333333333335,1.2222222222222223,0.7777777777777778,2.2222222222222223,1.1111111111111112,3.111111111111111,1.6666666666666667,0.1111111111111111,3.6666666666666665,2.2222222222222223,2.7777777777777777,3.0,3.0,2.111111111111111,2.2222222222222223,0.0,0.5555555555555556,0.33333333333333337,2.888888888888889,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,2.666666666666667,900
A Hat in Time - Seal the Deal,0.0,0.0,1.25,0.0,1.25,1.25,1.25,0.0,3.75,0.0,5.0,1.25,1.25,0.0,1.25,3.75,0.0,0.0,0.0,1.25,0.0,1.25,1.25,0.0,0.0,0.0,1.25,0.0,3.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,2.5,5.0,2.5,3.75,5.0,0.0,1.25,3.75,5.0,5.0,5.0,5.0,5.0,0.0,3.75,0.0,3.75,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,3.75,80
A Kiss For The Petals - Maidens of Michael,0.5,1.5,2.5,0.5,2.0,1.5,1.5,0.0,2.5,2.0,3.0,2.0,0.5,2.5,3.0,2.5,0.0,0.0,0.5,3.0,1.0,0.5,2.0,0.5,0.0,0.0,2.5,0.5,2.0,3.5000000000000004,0.5,0.0,1.0,0.5,1.0,2.0,3.0,3.0,2.5,2.5,1.0,3.0,2.0,0.5,3.5000000000000004,2.5,3.5000000000000004,3.5000000000000004,1.5,2.5,3.5000000000000004,0.5,1.0,0.5,2.5,0.5,1.0,0.5,0.5,2.5,0.5,0.5,2.0,0.5,200
A Kiss For The Petals - Remembering How We Met,0.0,0.7142857142857143,1.4285714285714286,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,2.142857142857143,1.4285714285714286,0.7142857142857143,3.571428571428571,1.4285714285714286,2.142857142857143,0.7142857142857143,1.4285714285714286,2.857142857142857,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.4285714285714286,0.7142857142857143,2.857142857142857,2.142857142857143,1.4285714285714286,1.4285714285714286,2.857142857142857,0.0,0.7142857142857143,0.0,0.7142857142857143,1.4285714285714286,4.285714285714286,2.857142857142857,1.4285714285714286,4.285714285714286,1.4285714285714286,4.285714285714286,4.285714285714286,0.0,2.142857142857143,2.857142857142857,3.571428571428571,3.571428571428571,3.571428571428571,3.571428571428571,2.142857142857143,0.0,2.142857142857143,0.0,4.285714285714286,0.7142857142857143,3.571428571428571,0.0,1.4285714285714286,0.7142857142857143,0.0,0.0,0.7142857142857143,2.142857142857143,140
A New Beginning: Final Cut,0.8208955223880596,0.3731343283582089,1.4179104477611941,0.44776119402985076,1.4179104477611941,0.22388059701492538,0.2985074626865672,0.5970149253731344,1.8656716417910446,0.8208955223880596,4.701492537313433,2.4626865671641793,0.0,0.1492537313432836,2.3134328358208953,2.5373134328358207,0.0746268656716418,0.2985074626865672,0.8955223880597015,1.9402985074626864,0.6716417910447761,0.44776119402985076,0.1492537313432836,0.8955223880597015,0.8208955223880596,0.0746268656716418,2.9104477611940296,0.8955223880597015,2.9104477611940296,2.9104477611940296,2.014925373134328,0.1492537313432836,0.1492537313432836,0.0,1.4925373134328357,0.22388059701492538,4.328358208955224,3.805970149253731,2.3134328358208953,2.9850746268656714,2.0895522388059704,4.626865671641791,3.3582089552238807,0.0,2.6865671641791042,3.880597014925373,4.179104477611941,4.253731343283582,3.3582089552238807,3.3582089552238807,3.5074626865671643,0.0746268656716418,0.9701492537313432,0.3731343283582089,3.955223880597015,0.0746268656716418,1.2686567164179103,0.1492537313432836,0.3731343283582089,0.5223880597014926,0.1492537313432836,0.0,0.3731343283582089,2.6119402985074625,1340
A.D. 2044,0.625,0.625,2.1875,1.25,0.3125,0.625,1.25,0.9375,2.8125,1.25,3.75,1.25,0.625,0.625,1.5625,2.1875,0.625,0.625,0.625,0.9375,0.625,1.5625,0.3125,1.875,0.625,1.25,1.875,0.9375,3.125,3.125,0.625,0.3125,0.9375,0.3125,0.9375,1.25,3.4375000000000004,3.125,1.875,3.4375000000000004,2.1875,3.125,3.125,0.3125,3.125,3.125,3.4375000000000004,3.4375000000000004,3.75,3.125,2.8125,0.0,1.25,0.3125,3.4375000000000004,0.0,1.875,0.0,1.25,0.3125,1.25,0.625,0.3125,1.5625,320
ABZÛ,1.7999999999999998,0.0,2.6,1.4000000000000001,3.0,0.2,0.6,0.6,2.0,1.2,4.8,2.4,0.4,0.0,4.2,2.4,0.0,0.8,2.1999999999999997,3.4000000000000004,2.0,0.8,0.8,0.8,1.0,0.0,3.0,0.6,2.6,2.6,2.1999999999999997,0.0,0.6,0.2,2.0,0.0,3.0,2.4,1.0,2.1999999999999997,1.4000000000000001,3.2,2.0,0.0,2.6,2.8000000000000003,4.0,4.0,3.4000000000000004,1.7999999999999998,3.0,0.0,1.0,0.0,3.4000000000000004,0.0,0.6,0.2,0.2,0.0,0.0,0.0,1.2,3.4000000000000004,500
ADOM (Ancient Domains Of Mystery),1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.5,2.5,0.5,5.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,1.5,3.0,2.0,1.0,0.5,0.0,0.5,0.0,4.0,0.5,4.5,4.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.5,3.0,1.5,4.5,2.0,0.0,4.0,2.5,4.5,5.0,4.0,1.5,3.5000000000000004,0.0,0.0,0.0,3.5000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5000000000000004,200
AER – Memories of Old,1.8181818181818181,0.0,3.6363636363636362,1.3636363636363635,2.727272727272727,0.45454545454545453,0.45454545454545453,0.0,2.727272727272727,0.9090909090909091,3.6363636363636362,2.727272727272727,0.0,0.0,4.090909090909091,3.1818181818181817,0.9090909090909091,1.3636363636363635,2.727272727272727,4.090909090909091,2.727272727272727,1.3636363636363635,0.0,0.9090909090909091,0.9090909090909091,0.0,2.272727272727273,0.45454545454545453,1.3636363636363635,0.9090909090909091,2.272727272727273,0.0,0.0,0.45454545454545453,1.3636363636363635,0.0,2.727272727272727,1.8181818181818181,1.3636363636363635,2.727272727272727,2.272727272727273,3.6363636363636362,2.272727272727273,0.45454545454545453,0.9090909090909091,3.1818181818181817,3.6363636363636362,3.1818181818181817,3.6363636363636362,2.272727272727273,3.1818181818181817,0.45454545454545453,0.9090909090909091,1.3636363636363635,1.3636363636363635,0.45454545454545453,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.9090909090909091,3.6363636363636362,220
